station,biketype,operation,value
233,mech,drop,31.838709677419356
233,mech,pick,32.74193548387097
234,elec,drop,19.967741935483872
234,elec,pick,19.483870967741936
234,mech,drop,30.580645161290324
234,mech,pick,31.35483870967742
235,elec,drop,9.64516129032258
235,elec,pick,9.483870967741936
235,mech,drop,63.096774193548384
235,mech,pick,60.0
236,elec,drop,8.387096774193548
236,elec,pick,8.096774193548388
236,mech,drop,32.61290322580645
236,mech,pick,33.32258064516129
237,elec,drop,17.903225806451612
237,elec,pick,18.903225806451612
237,mech,drop,35.774193548387096
237,mech,pick,38.16129032258065
238,elec,drop,11.419354838709678
238,elec,pick,11.64516129032258
238,mech,drop,37.16129032258065
238,mech,pick,36.225806451612904
239,elec,drop,15.064516129032258
239,elec,pick,15.32258064516129
239,mech,drop,46.25806451612903
239,mech,pick,47.16129032258065
240,elec,drop,14.67741935483871
240,elec,pick,15.483870967741936
240,mech,drop,41.096774193548384
240,mech,pick,41.25806451612903
241,elec,drop,19.516129032258064
241,elec,pick,20.548387096774192
241,mech,drop,37.03225806451613
241,mech,pick,38.87096774193548
242,elec,drop,13.96774193548387
242,elec,pick,16.161290322580644
242,mech,drop,29.451612903225808
242,mech,pick,30.483870967741936
243,elec,drop,10.32258064516129
243,elec,pick,10.96774193548387
243,mech,drop,21.677419354838708
243,mech,pick,22.032258064516128
244,elec,drop,11.03225806451613
244,elec,pick,12.193548387096774
244,mech,drop,23.35483870967742
244,mech,pick,23.677419354838708
246,elec,drop,18.225806451612904
246,elec,pick,18.516129032258064
246,mech,drop,45.54838709677419
246,mech,pick,46.516129032258064
247,elec,drop,14.96774193548387
247,elec,pick,13.483870967741936
247,mech,drop,35.774193548387096
247,mech,pick,37.903225806451616
248,elec,drop,4.548387096774194
248,elec,pick,4.903225806451613
248,mech,drop,17.161290322580644
248,mech,pick,17.677419354838708
249,elec,drop,6.870967741935484
249,elec,pick,7.0
249,mech,drop,24.806451612903224
249,mech,pick,24.129032258064516
250,elec,drop,9.225806451612904
250,elec,pick,9.451612903225806
250,mech,drop,29.580645161290324
250,mech,pick,29.612903225806452
251,elec,drop,9.290322580645162
251,elec,pick,10.451612903225806
251,mech,drop,28.64516129032258
251,mech,pick,29.967741935483872
252,elec,drop,9.870967741935484
252,elec,pick,10.064516129032258
252,mech,drop,31.612903225806452
252,mech,pick,28.225806451612904
253,elec,drop,3.838709677419355
253,elec,pick,4.064516129032258
253,mech,drop,18.129032258064516
253,mech,pick,17.870967741935484
254,elec,drop,8.580645161290322
254,elec,pick,8.935483870967742
254,mech,drop,30.35483870967742
254,mech,pick,29.516129032258064
255,elec,drop,4.354838709677419
255,elec,pick,4.741935483870968
255,mech,drop,12.935483870967742
255,mech,pick,13.419354838709678
256,elec,drop,5.258064516129032
256,elec,pick,5.451612903225806
256,mech,drop,16.870967741935484
256,mech,pick,16.806451612903224
257,elec,drop,7.580645161290323
257,elec,pick,7.580645161290323
257,mech,drop,22.838709677419356
257,mech,pick,24.225806451612904
258,elec,drop,4.258064516129032
258,elec,pick,4.354838709677419
258,mech,drop,9.870967741935484
258,mech,pick,9.870967741935484
259,elec,drop,8.806451612903226
259,elec,pick,9.64516129032258
259,mech,drop,20.806451612903224
259,mech,pick,19.29032258064516
260,elec,drop,5.967741935483871
260,elec,pick,6.161290322580645
260,mech,drop,18.096774193548388
260,mech,pick,16.806451612903224
261,elec,drop,12.483870967741936
261,elec,pick,11.67741935483871
261,mech,drop,47.61290322580645
261,mech,pick,49.67741935483871
262,elec,drop,14.67741935483871
262,elec,pick,15.290322580645162
262,mech,drop,65.48387096774194
262,mech,pick,63.96774193548387
263,elec,drop,5.612903225806452
263,elec,pick,5.903225806451613
263,mech,drop,20.838709677419356
263,mech,pick,19.129032258064516
264,elec,drop,9.0
264,elec,pick,8.806451612903226
264,mech,drop,16.806451612903224
264,mech,pick,15.483870967741936
265,elec,drop,20.64516129032258
265,elec,pick,20.35483870967742
265,mech,drop,70.16129032258064
265,mech,pick,67.29032258064517
266,elec,drop,7.387096774193548
266,elec,pick,7.354838709677419
266,mech,drop,17.774193548387096
266,mech,pick,18.548387096774192
267,elec,drop,3.2903225806451615
267,elec,pick,3.3548387096774195
267,mech,drop,8.806451612903226
267,mech,pick,9.064516129032258
268,elec,drop,1.8387096774193548
268,elec,pick,2.225806451612903
268,mech,drop,6.258064516129032
268,mech,pick,6.870967741935484
269,elec,drop,1.8709677419354838
269,elec,pick,1.7096774193548387
269,mech,drop,3.4516129032258065
269,mech,pick,3.4193548387096775
270,elec,drop,2.096774193548387
270,elec,pick,2.4838709677419355
270,mech,drop,5.67741935483871
270,mech,pick,6.161290322580645
271,elec,drop,1.1290322580645162
271,elec,pick,1.4193548387096775
271,mech,drop,2.2903225806451615
271,mech,pick,2.4193548387096775
272,elec,drop,6.096774193548387
272,elec,pick,7.096774193548387
272,mech,drop,15.225806451612904
272,mech,pick,15.387096774193548
273,elec,drop,16.741935483870968
273,elec,pick,17.677419354838708
273,mech,drop,38.903225806451616
273,mech,pick,43.54838709677419
274,elec,drop,11.548387096774194
274,elec,pick,12.129032258064516
274,mech,drop,32.193548387096776
274,mech,pick,32.774193548387096
275,elec,drop,8.0
275,elec,pick,8.387096774193548
275,mech,drop,25.838709677419356
275,mech,pick,30.225806451612904
276,elec,drop,23.677419354838708
276,elec,pick,25.06451612903226
276,mech,drop,23.612903225806452
276,mech,pick,23.193548387096776
277,elec,drop,31.741935483870968
277,elec,pick,32.935483870967744
277,mech,drop,66.09677419354838
277,mech,pick,70.51612903225806
278,elec,drop,24.774193548387096
278,elec,pick,26.741935483870968
278,mech,drop,36.45161290322581
278,mech,pick,38.483870967741936
279,elec,drop,16.806451612903224
279,elec,pick,18.677419354838708
279,mech,drop,27.838709677419356
279,mech,pick,31.032258064516128
280,elec,drop,17.161290322580644
280,elec,pick,19.096774193548388
280,mech,drop,52.25806451612903
280,mech,pick,54.645161290322584
281,elec,drop,16.258064516129032
281,elec,pick,17.677419354838708
281,mech,drop,7.709677419354839
281,mech,pick,9.0
282,elec,drop,8.451612903225806
282,elec,pick,9.838709677419354
282,mech,drop,8.516129032258064
282,mech,pick,8.709677419354838
283,elec,drop,9.35483870967742
283,elec,pick,8.516129032258064
283,mech,drop,10.03225806451613
283,mech,pick,10.32258064516129
284,elec,drop,9.935483870967742
284,elec,pick,10.161290322580646
284,mech,drop,13.483870967741936
284,mech,pick,14.32258064516129
285,elec,drop,4.774193548387097
285,elec,pick,5.419354838709677
285,mech,drop,8.774193548387096
285,mech,pick,10.03225806451613
286,elec,drop,8.161290322580646
286,elec,pick,8.225806451612904
286,mech,drop,41.29032258064516
286,mech,pick,39.87096774193548
287,elec,drop,15.064516129032258
287,elec,pick,15.548387096774194
287,mech,drop,50.193548387096776
287,mech,pick,50.16129032258065
288,elec,drop,15.709677419354838
288,elec,pick,15.935483870967742
288,mech,drop,34.12903225806452
288,mech,pick,35.0
289,elec,drop,6.774193548387097
289,elec,pick,7.741935483870968
289,mech,drop,24.096774193548388
289,mech,pick,24.741935483870968
290,elec,drop,7.967741935483871
290,elec,pick,8.161290322580646
290,mech,drop,8.451612903225806
290,mech,pick,10.870967741935484
291,elec,drop,7.483870967741935
291,elec,pick,8.290322580645162
291,mech,drop,14.64516129032258
291,mech,pick,15.580645161290322
292,elec,drop,8.064516129032258
292,elec,pick,9.096774193548388
292,mech,drop,11.096774193548388
292,mech,pick,11.225806451612904
293,elec,drop,4.0
293,elec,pick,4.354838709677419
293,mech,drop,7.258064516129032
293,mech,pick,8.451612903225806
294,elec,drop,3.5806451612903225
294,elec,pick,3.6451612903225805
294,mech,drop,6.612903225806452
294,mech,pick,8.419354838709678
295,elec,drop,3.3870967741935485
295,elec,pick,3.4193548387096775
295,mech,drop,3.0
295,mech,pick,3.4516129032258065
296,elec,drop,10.225806451612904
296,elec,pick,10.548387096774194
296,mech,drop,25.70967741935484
296,mech,pick,27.93548387096774
297,elec,drop,13.67741935483871
297,elec,pick,14.741935483870968
297,mech,drop,14.741935483870968
297,mech,pick,14.741935483870968
298,elec,drop,15.838709677419354
298,elec,pick,15.451612903225806
298,mech,drop,34.96774193548387
298,mech,pick,37.29032258064516
299,elec,drop,5.419354838709677
299,elec,pick,6.096774193548387
299,mech,drop,12.870967741935484
299,mech,pick,14.548387096774194
300,elec,drop,6.645161290322581
300,elec,pick,8.903225806451612
300,mech,drop,14.387096774193548
300,mech,pick,15.903225806451612
301,elec,drop,8.161290322580646
301,elec,pick,8.290322580645162
301,mech,drop,6.419354838709677
301,mech,pick,6.645161290322581
302,elec,drop,23.451612903225808
302,elec,pick,23.483870967741936
302,mech,drop,5.129032258064516
302,mech,pick,5.225806451612903
303,elec,drop,12.838709677419354
303,elec,pick,13.258064516129032
303,mech,drop,3.6451612903225805
303,mech,pick,5.580645161290323
304,elec,drop,22.06451612903226
304,elec,pick,22.612903225806452
304,mech,drop,16.387096774193548
304,mech,pick,17.903225806451612
305,elec,drop,25.06451612903226
305,elec,pick,24.774193548387096
305,mech,drop,27.806451612903224
305,mech,pick,30.806451612903224
306,elec,drop,10.612903225806452
306,elec,pick,10.258064516129032
306,mech,drop,15.32258064516129
306,mech,pick,18.612903225806452
307,elec,drop,9.580645161290322
307,elec,pick,10.193548387096774
307,mech,drop,8.870967741935484
307,mech,pick,8.67741935483871
308,elec,drop,10.580645161290322
308,elec,pick,12.548387096774194
308,mech,drop,11.870967741935484
308,mech,pick,11.67741935483871
309,elec,drop,11.580645161290322
309,elec,pick,11.741935483870968
309,mech,drop,16.032258064516128
309,mech,pick,14.193548387096774
310,elec,drop,12.096774193548388
310,elec,pick,11.838709677419354
310,mech,drop,20.419354838709676
310,mech,pick,19.29032258064516
311,elec,drop,1.5483870967741935
311,elec,pick,1.5161290322580645
311,mech,drop,2.225806451612903
311,mech,pick,2.032258064516129
312,elec,drop,12.935483870967742
312,elec,pick,13.03225806451613
312,mech,drop,19.032258064516128
312,mech,pick,19.741935483870968
313,elec,drop,14.903225806451612
313,elec,pick,15.129032258064516
313,mech,drop,46.12903225806452
313,mech,pick,46.16129032258065
314,elec,drop,14.451612903225806
314,elec,pick,15.161290322580646
314,mech,drop,31.06451612903226
314,mech,pick,33.064516129032256
315,elec,drop,21.516129032258064
315,elec,pick,23.516129032258064
315,mech,drop,42.41935483870968
315,mech,pick,45.774193548387096
316,elec,drop,8.35483870967742
316,elec,pick,9.258064516129032
316,mech,drop,31.870967741935484
316,mech,pick,28.70967741935484
317,elec,drop,6.967741935483871
317,elec,pick,8.096774193548388
317,mech,drop,20.258064516129032
317,mech,pick,18.29032258064516
318,elec,drop,14.129032258064516
318,elec,pick,15.903225806451612
318,mech,drop,3.6451612903225805
318,mech,pick,3.6129032258064515
319,elec,drop,27.129032258064516
319,elec,pick,25.93548387096774
319,mech,drop,51.064516129032256
319,mech,pick,57.38709677419355
320,elec,drop,20.580645161290324
320,elec,pick,20.774193548387096
320,mech,drop,28.903225806451612
320,mech,pick,33.0
321,elec,drop,25.580645161290324
321,elec,pick,24.967741935483872
321,mech,drop,18.612903225806452
321,mech,pick,22.838709677419356
322,elec,drop,11.451612903225806
322,elec,pick,12.483870967741936
322,mech,drop,6.0
322,mech,pick,6.32258064516129
323,elec,drop,7.290322580645161
323,elec,pick,7.548387096774194
323,mech,drop,7.0
323,mech,pick,11.806451612903226
324,elec,drop,8.64516129032258
324,elec,pick,8.741935483870968
324,mech,drop,8.0
324,mech,pick,8.451612903225806
325,elec,drop,6.967741935483871
325,elec,pick,7.096774193548387
325,mech,drop,8.516129032258064
325,mech,pick,10.516129032258064
326,elec,drop,20.64516129032258
326,elec,pick,19.612903225806452
326,mech,drop,8.774193548387096
326,mech,pick,11.258064516129032
327,elec,drop,16.129032258064516
327,elec,pick,16.64516129032258
327,mech,drop,3.6451612903225805
327,mech,pick,6.354838709677419
328,elec,drop,12.225806451612904
328,elec,pick,12.387096774193548
328,mech,drop,5.612903225806452
328,mech,pick,9.64516129032258
329,elec,drop,9.193548387096774
329,elec,pick,9.548387096774194
329,mech,drop,4.967741935483871
329,mech,pick,7.129032258064516
331,elec,drop,10.935483870967742
331,elec,pick,10.870967741935484
331,mech,drop,8.0
331,mech,pick,12.387096774193548
332,elec,drop,6.387096774193548
332,elec,pick,6.709677419354839
332,mech,drop,7.483870967741935
332,mech,pick,11.096774193548388
333,elec,drop,13.935483870967742
333,elec,pick,14.870967741935484
333,mech,drop,5.741935483870968
333,mech,pick,10.161290322580646
334,elec,drop,14.838709677419354
334,elec,pick,15.870967741935484
334,mech,drop,4.064516129032258
334,mech,pick,9.129032258064516
335,elec,drop,8.806451612903226
335,elec,pick,9.193548387096774
335,mech,drop,7.935483870967742
335,mech,pick,9.516129032258064
336,elec,drop,8.483870967741936
336,elec,pick,8.838709677419354
336,mech,drop,4.096774193548387
336,mech,pick,6.419354838709677
337,elec,drop,9.709677419354838
337,elec,pick,9.64516129032258
337,mech,drop,1.935483870967742
337,mech,pick,3.6774193548387095
338,elec,drop,5.387096774193548
338,elec,pick,5.645161290322581
338,mech,drop,6.354838709677419
338,mech,pick,8.870967741935484
339,elec,drop,11.096774193548388
339,elec,pick,11.0
339,mech,drop,66.25806451612904
339,mech,pick,63.354838709677416
340,elec,drop,3.806451612903226
340,elec,pick,4.225806451612903
340,mech,drop,11.612903225806452
340,mech,pick,10.32258064516129
341,elec,drop,2.3870967741935485
341,elec,pick,2.5806451612903225
341,mech,drop,4.870967741935484
341,mech,pick,5.258064516129032
342,elec,drop,18.870967741935484
342,elec,pick,19.387096774193548
342,mech,drop,70.48387096774194
342,mech,pick,70.74193548387096
343,elec,drop,7.741935483870968
343,elec,pick,7.419354838709677
343,mech,drop,22.870967741935484
343,mech,pick,19.903225806451612
344,elec,drop,4.741935483870968
344,elec,pick,4.612903225806452
344,mech,drop,8.870967741935484
344,mech,pick,8.64516129032258
345,elec,drop,9.32258064516129
345,elec,pick,10.064516129032258
345,mech,drop,32.935483870967744
345,mech,pick,25.967741935483872
346,elec,drop,5.838709677419355
346,elec,pick,6.387096774193548
346,mech,drop,19.06451612903226
346,mech,pick,18.161290322580644
347,elec,drop,6.064516129032258
347,elec,pick,6.290322580645161
347,mech,drop,23.0
347,mech,pick,17.29032258064516
348,elec,drop,7.0
348,elec,pick,7.0
348,mech,drop,25.64516129032258
348,mech,pick,26.032258064516128
349,elec,drop,10.290322580645162
349,elec,pick,10.096774193548388
349,mech,drop,26.580645161290324
349,mech,pick,25.483870967741936
350,elec,drop,19.35483870967742
350,elec,pick,18.870967741935484
350,mech,drop,28.580645161290324
350,mech,pick,33.29032258064516
351,elec,drop,8.935483870967742
351,elec,pick,9.161290322580646
351,mech,drop,25.838709677419356
351,mech,pick,23.870967741935484
352,elec,drop,12.838709677419354
352,elec,pick,12.741935483870968
352,mech,drop,40.61290322580645
352,mech,pick,40.516129032258064
353,elec,drop,15.387096774193548
353,elec,pick,17.483870967741936
353,mech,drop,33.96774193548387
353,mech,pick,32.70967741935484
354,elec,drop,11.806451612903226
354,elec,pick,12.064516129032258
354,mech,drop,42.61290322580645
354,mech,pick,36.806451612903224
356,elec,drop,32.193548387096776
356,elec,pick,35.32258064516129
356,mech,drop,21.612903225806452
356,mech,pick,22.129032258064516
357,elec,drop,20.967741935483872
357,elec,pick,22.580645161290324
357,mech,drop,8.161290322580646
357,mech,pick,8.290322580645162
358,elec,drop,14.258064516129032
358,elec,pick,13.903225806451612
358,mech,drop,68.54838709677419
358,mech,pick,64.87096774193549
359,elec,drop,21.516129032258064
359,elec,pick,21.032258064516128
359,mech,drop,88.2258064516129
359,mech,pick,87.58064516129032
360,elec,drop,13.387096774193548
360,elec,pick,12.774193548387096
360,mech,drop,54.806451612903224
360,mech,pick,57.0
361,elec,drop,7.0
361,elec,pick,6.838709677419355
361,mech,drop,47.16129032258065
361,mech,pick,44.70967741935484
362,elec,drop,21.193548387096776
362,elec,pick,20.838709677419356
362,mech,drop,58.25806451612903
362,mech,pick,59.61290322580645
363,elec,drop,12.32258064516129
363,elec,pick,12.258064516129032
363,mech,drop,51.96774193548387
363,mech,pick,50.12903225806452
364,elec,drop,25.387096774193548
364,elec,pick,25.483870967741936
364,mech,drop,63.806451612903224
364,mech,pick,63.38709677419355
365,elec,drop,19.387096774193548
365,elec,pick,19.161290322580644
365,mech,drop,46.806451612903224
365,mech,pick,51.74193548387097
367,elec,drop,23.225806451612904
367,elec,pick,23.838709677419356
367,mech,drop,47.67741935483871
367,mech,pick,48.83870967741935
368,elec,drop,20.032258064516128
368,elec,pick,19.870967741935484
368,mech,drop,63.96774193548387
368,mech,pick,65.87096774193549
369,elec,drop,20.225806451612904
369,elec,pick,19.612903225806452
369,mech,drop,63.87096774193548
369,mech,pick,68.12903225806451
370,elec,drop,17.483870967741936
370,elec,pick,17.322580645161292
370,mech,drop,48.225806451612904
370,mech,pick,53.225806451612904
371,elec,drop,12.32258064516129
371,elec,pick,12.0
371,mech,drop,46.483870967741936
371,mech,pick,48.61290322580645
372,elec,drop,11.193548387096774
372,elec,pick,11.35483870967742
372,mech,drop,56.29032258064516
372,mech,pick,57.70967741935484
373,elec,drop,18.451612903225808
373,elec,pick,17.903225806451612
373,mech,drop,102.35483870967742
373,mech,pick,96.25806451612904
374,elec,drop,22.741935483870968
374,elec,pick,23.225806451612904
374,mech,drop,45.064516129032256
374,mech,pick,45.38709677419355
375,elec,drop,10.612903225806452
375,elec,pick,10.483870967741936
375,mech,drop,57.064516129032256
375,mech,pick,58.0
376,elec,drop,5.225806451612903
376,elec,pick,5.161290322580645
376,mech,drop,45.83870967741935
376,mech,pick,44.516129032258064
377,elec,drop,2.806451612903226
377,elec,pick,2.806451612903226
377,mech,drop,11.225806451612904
377,mech,pick,10.774193548387096
378,elec,drop,10.35483870967742
378,elec,pick,10.35483870967742
378,mech,drop,53.67741935483871
378,mech,pick,50.61290322580645
380,elec,drop,5.32258064516129
380,elec,pick,5.225806451612903
380,mech,drop,40.225806451612904
380,mech,pick,36.03225806451613
381,elec,drop,9.612903225806452
381,elec,pick,8.870967741935484
381,mech,drop,46.516129032258064
381,mech,pick,45.0
382,elec,drop,11.451612903225806
382,elec,pick,11.709677419354838
382,mech,drop,61.806451612903224
382,mech,pick,58.96774193548387
384,elec,drop,13.741935483870968
384,elec,pick,14.548387096774194
384,mech,drop,47.935483870967744
384,mech,pick,50.41935483870968
385,elec,drop,21.70967741935484
385,elec,pick,20.483870967741936
385,mech,drop,52.774193548387096
385,mech,pick,54.12903225806452
386,elec,drop,11.709677419354838
386,elec,pick,10.838709677419354
386,mech,drop,49.193548387096776
386,mech,pick,46.806451612903224
387,elec,drop,12.32258064516129
387,elec,pick,11.870967741935484
387,mech,drop,43.225806451612904
387,mech,pick,46.225806451612904
388,elec,drop,13.548387096774194
388,elec,pick,12.548387096774194
388,mech,drop,63.45161290322581
388,mech,pick,64.87096774193549
389,elec,drop,2.5806451612903225
389,elec,pick,2.5806451612903225
389,mech,drop,19.387096774193548
389,mech,pick,14.741935483870968
390,elec,drop,23.0
390,elec,pick,22.29032258064516
390,mech,drop,98.12903225806451
390,mech,pick,91.90322580645162
391,elec,drop,8.35483870967742
391,elec,pick,8.806451612903226
391,mech,drop,30.870967741935484
391,mech,pick,31.451612903225808
392,elec,drop,7.741935483870968
392,elec,pick,7.741935483870968
392,mech,drop,47.25806451612903
392,mech,pick,50.12903225806452
393,elec,drop,11.870967741935484
393,elec,pick,11.612903225806452
393,mech,drop,61.70967741935484
393,mech,pick,61.58064516129032
394,elec,drop,20.64516129032258
394,elec,pick,20.29032258064516
394,mech,drop,63.45161290322581
394,mech,pick,59.225806451612904
395,elec,drop,17.967741935483872
395,elec,pick,18.612903225806452
395,mech,drop,65.6774193548387
395,mech,pick,64.03225806451613
396,elec,drop,5.67741935483871
396,elec,pick,5.354838709677419
396,mech,drop,33.483870967741936
396,mech,pick,30.225806451612904
397,elec,drop,6.612903225806452
397,elec,pick,6.548387096774194
397,mech,drop,48.354838709677416
397,mech,pick,43.225806451612904
398,elec,drop,5.645161290322581
398,elec,pick,5.612903225806452
398,mech,drop,36.935483870967744
398,mech,pick,33.25806451612903
400,elec,drop,7.096774193548387
400,elec,pick,7.225806451612903
400,mech,drop,32.0
400,mech,pick,28.870967741935484
401,elec,drop,15.806451612903226
401,elec,pick,15.161290322580646
401,mech,drop,79.0
401,mech,pick,73.70967741935483
402,elec,drop,4.354838709677419
402,elec,pick,4.193548387096774
402,mech,drop,30.419354838709676
402,mech,pick,24.967741935483872
404,elec,drop,11.193548387096774
404,elec,pick,11.161290322580646
404,mech,drop,51.225806451612904
404,mech,pick,45.483870967741936
405,elec,drop,15.225806451612904
405,elec,pick,15.483870967741936
405,mech,drop,43.16129032258065
405,mech,pick,45.96774193548387
406,elec,drop,12.612903225806452
406,elec,pick,12.67741935483871
406,mech,drop,60.74193548387097
406,mech,pick,56.193548387096776
408,elec,drop,3.903225806451613
408,elec,pick,3.806451612903226
408,mech,drop,39.806451612903224
408,mech,pick,39.096774193548384
409,elec,drop,13.612903225806452
409,elec,pick,13.612903225806452
409,mech,drop,64.83870967741936
409,mech,pick,62.61290322580645
410,elec,drop,3.903225806451613
410,elec,pick,3.7419354838709675
410,mech,drop,32.25806451612903
410,mech,pick,29.322580645161292
412,elec,drop,11.96774193548387
412,elec,pick,11.709677419354838
412,mech,drop,49.96774193548387
412,mech,pick,47.41935483870968
413,elec,drop,15.064516129032258
413,elec,pick,14.774193548387096
413,mech,drop,56.516129032258064
413,mech,pick,56.45161290322581
414,elec,drop,16.451612903225808
414,elec,pick,16.612903225806452
414,mech,drop,62.193548387096776
414,mech,pick,60.0
415,elec,drop,11.387096774193548
415,elec,pick,10.483870967741936
415,mech,drop,58.25806451612903
415,mech,pick,61.483870967741936
416,elec,drop,5.548387096774194
416,elec,pick,5.161290322580645
416,mech,drop,40.67741935483871
416,mech,pick,41.87096774193548
418,elec,drop,15.193548387096774
418,elec,pick,15.387096774193548
418,mech,drop,66.45161290322581
418,mech,pick,63.0
419,elec,drop,6.32258064516129
419,elec,pick,6.483870967741935
419,mech,drop,58.58064516129032
419,mech,pick,51.774193548387096
420,elec,drop,13.838709677419354
420,elec,pick,12.870967741935484
420,mech,drop,39.516129032258064
420,mech,pick,42.03225806451613
421,elec,drop,19.612903225806452
421,elec,pick,20.387096774193548
421,mech,drop,70.45161290322581
421,mech,pick,72.25806451612904
423,elec,drop,8.064516129032258
423,elec,pick,8.03225806451613
423,mech,drop,28.64516129032258
423,mech,pick,27.580645161290324
424,elec,drop,5.064516129032258
424,elec,pick,5.032258064516129
424,mech,drop,37.516129032258064
424,mech,pick,36.87096774193548
425,elec,drop,3.3225806451612905
425,elec,pick,2.903225806451613
425,mech,drop,21.322580645161292
425,mech,pick,20.322580645161292
426,elec,drop,17.096774193548388
426,elec,pick,17.548387096774192
426,mech,drop,69.38709677419355
426,mech,pick,70.12903225806451
427,elec,drop,11.96774193548387
427,elec,pick,11.580645161290322
427,mech,drop,70.48387096774194
427,mech,pick,70.29032258064517
428,elec,drop,7.387096774193548
428,elec,pick,7.774193548387097
428,mech,drop,41.25806451612903
428,mech,pick,42.74193548387097
471,elec,drop,0.8064516129032258
471,elec,pick,0.8387096774193549
471,mech,drop,0.6774193548387096
471,mech,pick,0.7096774193548387
472,elec,drop,2.0
472,elec,pick,2.064516129032258
472,mech,drop,0.8064516129032258
472,mech,pick,1.3548387096774193
474,elec,drop,0.6451612903225806
474,elec,pick,0.7419354838709677
474,mech,drop,0.12903225806451613
474,mech,pick,0.3548387096774194
492,elec,drop,13.0
492,elec,pick,13.064516129032258
492,mech,drop,41.935483870967744
492,mech,pick,46.645161290322584
494,elec,drop,4.096774193548387
494,elec,pick,4.064516129032258
494,mech,drop,18.161290322580644
494,mech,pick,16.70967741935484
495,elec,drop,10.161290322580646
495,elec,pick,10.290322580645162
495,mech,drop,37.096774193548384
495,mech,pick,39.645161290322584
496,elec,drop,21.483870967741936
496,elec,pick,21.580645161290324
496,mech,drop,51.54838709677419
496,mech,pick,53.935483870967744
